# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
31.4000,0.0929,0.0821,76.6362,107.6001
31.6000,0.0921,0.0815,76.6347,107.5979
31.8000,0.0913,0.0809,76.6331,107.5957
32.0000,0.0905,0.0803,76.6316,107.5935
32.2000,0.0898,0.0797,76.6300,107.5914
32.4000,0.0891,0.0792,76.6284,107.5892
32.6000,0.0885,0.0787,76.6269,107.5870
32.8000,0.0878,0.0782,76.6253,107.5848
33.0000,0.0872,0.0777,76.6238,107.5827
33.2000,0.0866,0.0772,76.6222,107.5805
33.4000,0.0860,0.0768,76.6207,107.5783
33.6000,0.0855,0.0763,76.6191,107.5761
33.8000,0.0850,0.0759,76.6176,107.5740
34.0000,0.0845,0.0754,76.6160,107.5718
34.2000,0.0840,0.0750,76.6145,107.5696
34.4000,0.0835,0.0746,76.6129,107.5674
34.6000,0.0830,0.0742,76.6114,107.5653
34.8000,0.0825,0.0738,76.6098,107.5631
35.0000,0.0821,0.0735,76.6083,107.5609
35.2000,0.0817,0.0731,76.6067,107.5587
35.4000,0.0812,0.0727,76.6052,107.5566
35.6000,0.0808,0.0724,76.6036,107.5544
35.8000,0.0804,0.0720,76.6021,107.5522
36.0000,0.0800,0.0717,76.6005,107.5501
36.2000,0.0796,0.0714,76.5990,107.5479
36.4000,0.0792,0.0710,76.5975,107.5457
36.6000,0.0789,0.0707,76.5959,107.5435
36.8000,0.0785,0.0704,76.5944,107.5414
37.0000,0.0781,0.0701,76.5928,107.5392
37.2000,0.0778,0.0698,76.5913,107.5370
37.4000,0.0775,0.0695,76.5897,107.5349
37.6000,0.0771,0.0692,76.5882,107.5327
37.8000,0.0768,0.0689,76.5866,107.5305
38.0000,0.0765,0.0686,76.5851,107.5283
38.2000,0.0761,0.0684,76.5835,107.5262
38.4000,0.0758,0.0681,76.5820,107.5240
38.6000,0.0755,0.0678,76.5804,107.5218
38.8000,0.0752,0.0675,76.5789,107.5197
39.0000,0.0749,0.0673,76.5773,107.5175
39.2000,0.0746,0.0670,76.5758,107.5153
39.4000,0.0744,0.0668,76.5743,107.5132
39.6000,0.0741,0.0665,76.5727,107.5110
39.8000,0.0738,0.0663,76.5712,107.5088
40.0000,0.0735,0.0661,76.5696,107.5067
40.2000,0.0733,0.0658,76.5681,107.5045
40.4000,0.0730,0.0656,76.5665,107.5023
40.6000,0.0727,0.0654,76.5650,107.5002
40.8000,0.0725,0.0651,76.5634,107.4980
41.0000,0.0722,0.0649,76.5619,107.4958
41.2000,0.0720,0.0647,76.5604,107.4936
41.4000,0.0717,0.0645,76.5588,107.4915
41.6000,0.0715,0.0643,76.5573,107.4893
41.8000,0.0712,0.0640,76.5557,107.4871
42.0000,0.0710,0.0638,76.5542,107.4850
42.2000,0.0708,0.0636,76.5526,107.4828
42.4000,0.0705,0.0634,76.5511,107.4806
42.6000,0.0703,0.0632,76.5495,107.4785
42.8000,0.0701,0.0630,76.5480,107.4763
43.0000,0.0699,0.0628,76.5465,107.4741
43.2000,0.0697,0.0627,76.5449,107.4720
43.4000,0.0694,0.0625,76.5434,107.4698
43.6000,0.0692,0.0623,76.5418,107.4676
43.8000,0.0690,0.0621,76.5403,107.4655
44.0000,0.0688,0.0619,76.5387,107.4633
44.2000,0.0686,0.0617,76.5372,107.4611
44.4000,0.0684,0.0615,76.5357,107.4590
44.6000,0.0682,0.0614,76.5341,107.4568
44.8000,0.0680,0.0612,76.5326,107.4546
45.0000,0.0678,0.0610,76.5310,107.4525
45.2000,0.0676,0.0609,76.5295,107.4503
45.4000,0.0674,0.0607,76.5279,107.4482
45.6000,0.0673,0.0605,76.5264,107.4460
45.8000,0.0671,0.0604,76.5249,107.4438
46.0000,0.0669,0.0602,76.5233,107.4417
46.2000,0.0667,0.0600,76.5218,107.4395
46.4000,0.0665,0.0599,76.5202,107.4373
46.6000,0.0663,0.0597,76.5187,107.4352
46.8000,0.0662,0.0596,76.5171,107.4330
47.0000,0.0660,0.0594,76.5156,107.4308
47.2000,0.0658,0.0593,76.5141,107.4287
47.4000,0.0657,0.0591,76.5125,107.4265
47.6000,0.0655,0.0590,76.5110,107.4243
47.8000,0.0653,0.0588,76.5094,107.4222
